Generation	NumCells	TotalBirths	TotalDeaths	TotalMigrations	Passengers	Drivers	VarPassengers	VarDrivers	MeanBirthRate	MeanMigrationRate	VarBirthRate	VarMigRate	NumClones	NumGenotypes	NumDriverGenotypes	NumDemes	NumNon-EmptyDemes	MatrixColumns	DriverMatrixColumns	EverGenotypes	CellsWith0Drivers	CellsWith1Drivers	CellsWith2Drivers	CellsWith3Drivers	CellsWith4Drivers	CellsWith5Drivers	CellsWith6Drivers	CellsWith7Drivers	CellsWith8Drivers	CellsWith9Drivers	CellsWith10Drivers
390.098480	31956	3193786	3161831	4697	80.877205	0.260671	65.846397	0.216923	1.040831e+00	1.457678e-03	5.170932e-03	0.000000e+00	12293	12250	8	94	80	187256	10	607569	24013	7556	387	0	0	0	0	0	0	0	0
391.098480	32056	3227279	3195224	4736	81.204300	0.266658	66.420395	0.220209	1.041927e+00	1.457678e-03	5.270409e-03	0.000000e+00	12343	12304	8	94	82	189163	10	614003	23903	7758	395	0	0	0	0	0	0	0	0
392.098480	32177	3260949	3228773	4786	81.503151	0.270970	66.968132	0.222693	1.042652e+00	1.457678e-03	5.335255e-03	0.000000e+00	12485	12434	8	94	82	191140	10	620367	23863	7909	405	0	0	0	0	0	0	0	0
393.098511	32351	3294499	3262149	4833	81.740814	0.273624	66.552299	0.224777	1.043112e+00	1.457678e-03	5.381476e-03	0.000000e+00	12617	12569	7	94	80	193157	10	626768	23920	8010	421	0	0	0	0	0	0	0	0
394.098511	32588	3328342	3295755	4889	81.949493	0.274365	67.324974	0.224659	1.043348e+00	1.457678e-03	5.402163e-03	0.000000e+00	12740	12679	7	95	85	195160	10	633204	24064	8107	417	0	0	0	0	0	0	0	0
395.098541	32706	3362344	3329639	4931	82.242676	0.282334	68.209053	0.229108	1.044572e+00	1.457678e-03	5.499762e-03	0.000000e+00	12872	12818	6	96	85	197210	10	639802	23905	8368	433	0	0	0	0	0	0	0	0
396.098572	32830	3396367	3363538	4992	82.459427	0.287511	67.358582	0.231530	1.045526e+00	1.457678e-03	5.579603e-03	0.000000e+00	12786	12726	6	97	83	199036	10	646209	23829	8563	438	0	0	0	0	0	0	0	0
397.098602	33037	3430777	3397741	5042	82.624359	0.291734	67.830193	0.234643	1.046159e+00	1.457678e-03	5.635614e-03	0.000000e+00	12919	12858	7	97	84	201088	10	652740	23862	8712	463	0	0	0	0	0	0	0	0
398.098602	33322	3465770	3432449	5101	82.888512	0.295871	69.034821	0.236652	1.046876e+00	1.457678e-03	5.691555e-03	0.000000e+00	13042	12983	7	99	84	203173	11	659426	23935	8915	472	0	0	0	0	0	0	0	0
399.098602	33441	3500635	3467195	5154	83.191322	0.305732	68.799995	0.240945	1.048517e+00	1.457678e-03	5.810454e-03	0.000000e+00	12967	12916	8	99	85	205100	11	665976	23697	9264	480	0	0	0	0	0	0	0	0
