Population	Parent	Identity	DriverIdentity	DriverMutations	MigrationMutations	Immortal	PassengerMutations	BirthRate	MigrationRate	OriginTime	Descendants
0	0	0	0	0	0	1	0	1.000000	0.001458	0.000000	1000000
0	0	9	9	1	0	1	0	1.164598	0.001458	258.226013	122854
68	9	35	35	2	0	1	0	1.224650	0.001458	333.546814	543
0	0	25	25	1	0	1	0	1.164970	0.001458	300.904358	14640
0	0	76	76	1	0	1	0	1.302279	0.001458	399.639130	793605
44271	0	102	102	1	0	1	0	1.489482	0.001458	432.907379	68901
243479	76	254	254	2	0	1	0	1.925087	0.001458	541.463867	791920
7	76	339	339	2	0	1	0	1.595388	0.001458	582.191589	1685
3992	25	335	335	2	0	1	0	1.285805	0.001458	580.620789	3992
111977	254	500	500	3	0	1	0	2.357640	0.001458	628.104004	278327
3497	254	563	563	3	0	1	1	2.309571	0.001458	643.576294	22740
2508	102	717	717	2	0	1	0	1.803974	0.001458	667.719971	5186
20235	9	667	667	2	0	1	0	1.767655	0.001458	660.324646	122311
168	254	657	657	3	0	1	0	2.514098	0.001458	659.559448	1143
8810	254	731	731	3	0	1	0	2.445394	0.001458	670.480469	47458
1608	102	955	955	2	0	1	1	1.878349	0.001458	697.151672	1608
99	500	1277	1277	4	0	1	0	2.925450	0.001458	720.072632	99
1115	254	861	861	3	0	1	1	2.141368	0.001458	686.131348	1464
106919	500	941	941	4	0	1	1	3.077356	0.001458	695.124756	118889
0	254	896	896	3	0	1	0	2.093653	0.001458	690.825928	23290
3200	102	986	986	2	0	1	0	1.808293	0.001458	700.166321	3200
0	254	1175	1175	3	0	1	0	2.063921	0.001458	713.597351	38516
68232	667	997	997	3	0	1	0	2.395340	0.001458	701.247437	98334
10703	254	995	995	3	0	1	0	2.296821	0.001458	701.053406	14476
10636	25	1261	1261	2	0	1	0	1.843270	0.001458	718.803284	10648
1678	339	1159	1159	3	0	1	0	1.874078	0.001458	712.509216	1678
5464	500	1173	1173	4	0	1	0	2.900624	0.001458	713.510071	7452
36658	254	1323	1323	3	0	1	0	2.604249	0.001458	722.957642	46063
20337	896	1195	1195	4	0	1	0	2.653281	0.001458	714.897278	23290
1048	563	1363	1363	4	0	1	1	2.608482	0.001458	725.543152	19224
28865	731	1352	1352	4	0	1	0	2.894254	0.001458	725.093323	30652
129	500	1312	1312	4	0	1	0	2.503691	0.001458	722.481995	129
47	254	1446	1446	3	0	1	0	2.186384	0.001458	731.085266	47
1	254	1453	1453	3	0	1	0	2.223587	0.001458	731.459290	1
37	254	1582	1582	3	0	1	0	2.467349	0.001458	738.845947	37
161	102	1507	1507	2	0	1	0	1.579738	0.001458	734.337952	161
2054	254	1508	1508	3	0	1	0	2.051608	0.001458	734.453064	2058
7630	731	1538	1538	4	0	1	0	2.891331	0.001458	736.265991	7659
4002	254	1660	1660	3	0	1	0	2.240561	0.001458	743.341248	4012
8452	941	1968	1968	5	0	1	1	3.490311	0.001458	757.718384	9548
472	500	1622	1622	4	0	1	0	2.672440	0.001458	741.117004	472
432	254	1721	1721	3	0	1	0	1.988652	0.001458	746.492615	432
18085	1363	1634	1634	5	0	1	1	3.143066	0.001458	741.718567	18176
6063	254	1733	1733	3	0	1	0	2.542200	0.001458	747.166565	6064
457	254	1643	1643	3	0	1	1	2.025857	0.001458	742.115173	457
3741	667	1665	1665	3	0	1	0	2.332322	0.001458	743.665527	3741
742	1352	1696	1696	5	0	1	0	3.124691	0.001458	745.034058	742
131	997	1682	1682	4	0	1	0	2.406171	0.001458	744.254700	131
2678	717	1676	1676	3	0	1	0	2.062822	0.001458	744.103088	2678
475	35	1717	1717	3	0	1	0	1.874824	0.001458	746.213928	475
691	254	2674	2674	3	0	1	0	2.130906	0.001458	784.197327	691
60	1173	1946	1946	5	0	1	1	3.006696	0.001458	756.884277	60
4106	254	1783	1783	3	0	1	1	2.469575	0.001458	749.728760	5021
4593	997	1816	1816	4	0	1	0	2.848084	0.001458	751.260437	4595
3	254	1825	1825	3	0	1	0	2.059825	0.001458	751.604797	3
328	731	1878	1878	4	0	1	0	2.761512	0.001458	754.082275	328
4863	254	1854	1854	3	0	1	0	2.241489	0.001458	753.322327	5076
2529	500	2104	2104	4	0	1	0	2.807494	0.001458	763.913879	2550
378	102	1935	1935	2	0	1	0	1.589405	0.001458	756.472656	378
7736	997	1876	1876	4	0	1	0	2.836072	0.001458	754.023193	8261
1849	254	1999	1999	3	0	1	0	2.182959	0.001458	759.144226	1849
4779	997	2002	2002	4	0	1	0	2.902032	0.001458	759.261841	4779
37262	1175	2004	2004	4	0	1	0	3.101407	0.001458	759.324036	38516
17912	500	1977	1977	4	0	1	0	2.435350	0.001458	758.279175	17912
569	500	2017	2017	4	0	1	1	2.539631	0.001458	759.780945	569
2320	1195	2003	2003	5	0	1	0	3.095943	0.001458	759.293457	2320
8401	254	2057	2057	3	0	1	0	2.434468	0.001458	761.694031	8474
2298	254	2091	2091	3	0	1	0	2.242733	0.001458	763.291748	2298
9	731	2281	2281	4	0	1	0	2.616447	0.001458	770.867798	9
1874	1173	2392	2392	5	0	1	0	3.218786	0.001458	774.467041	1874
3064	254	2098	2098	3	0	1	0	2.365570	0.001458	763.541382	3066
5002	254	2418	2418	3	0	1	0	2.695693	0.001458	775.945007	5002
9292	500	2255	2255	4	0	1	1	2.978701	0.001458	769.779785	9326
2135	254	2636	2636	3	0	1	0	2.802595	0.001458	782.854248	2161
32	102	2122	2122	2	0	1	0	1.537742	0.001458	764.564331	32
892	657	2176	2176	4	0	1	0	2.829350	0.001458	766.899841	975
809	102	2346	2346	2	0	1	0	1.593447	0.001458	773.045654	809
7098	1323	2400	2400	4	0	1	0	3.201780	0.001458	774.782471	7122
11	1323	2738	2738	4	0	1	1	2.802482	0.001458	786.119324	11
5827	102	2477	2477	2	0	1	0	2.123477	0.001458	777.652832	5830
7347	254	2183	2183	3	0	1	0	2.568016	0.001458	767.155457	8615
503	254	2243	2243	3	0	1	0	1.996361	0.001458	769.324097	503
992	254	2286	2286	3	0	1	0	2.217832	0.001458	771.087463	992
11	500	2370	2370	4	0	1	0	2.523833	0.001458	773.826721	11
277	254	2446	2446	3	0	1	0	2.047201	0.001458	776.640686	277
646	997	2396	2396	4	0	1	1	2.677860	0.001458	774.621582	646
204	997	2331	2331	4	0	1	0	2.681849	0.001458	772.454041	204
922	941	2419	2419	5	0	1	1	3.308176	0.001458	776.001953	922
1314	254	2526	2526	3	0	1	0	2.332968	0.001458	779.224121	1314
8592	997	2386	2386	4	0	1	0	2.933662	0.001458	774.187012	8619
1099	995	2512	2512	4	0	1	0	2.515850	0.001458	778.803833	1099
233	995	2502	2502	4	0	1	0	2.409027	0.001458	778.584351	233
6073	102	2438	2438	2	0	1	0	2.075069	0.001458	776.364380	6073
2196	997	2448	2448	4	0	1	0	2.983634	0.001458	776.737671	2278
252	500	2494	2494	4	0	1	0	2.495136	0.001458	778.223755	252
909	1783	2461	2461	4	0	1	1	2.644416	0.001458	777.052429	915
4640	254	2523	2523	3	0	1	0	2.837781	0.001458	779.182861	5274
1	667	2793	2793	3	0	1	0	1.963143	0.001458	787.983276	1
9	254	2538	2538	3	0	1	0	1.979935	0.001458	779.684265	9
3646	500	2788	2788	4	0	1	0	3.211053	0.001458	787.843445	3646
1018	941	2942	2942	5	0	1	1	3.544506	0.001458	792.301758	1018
