Generation	NumCells	DriverDiversity	DriverEdgeDiversity	DriverAlphaDiversity	DriverDiversityFrom1SamplesAtDepth0	DriverDiversityFrom1SamplesAtDepth1	DriverDiversityFrom1SamplesAtDepth2	DriverDiversityFrom1SamplesAtDepth3	DriverDiversityFrom1SamplesAtDepth4	DriverDiversityFrom1SamplesAtDepth5	DriverDiversityFrom1SamplesAtDepth6	DriverDiversityFrom1SamplesAtDepth7	DriverDiversityFrom1SamplesAtDepth8	DriverDiversityFrom1SamplesAtDepth9	DriverDiversityFrom1SamplesAtDepth10	DriverDiversityFrom1RandomSamples	DriverDiversityFrom1BigSamplesAtDepth0	DriverDiversityFrom1BigSamplesAtDepth1	DriverDiversityFrom1BigSamplesAtDepth2	DriverDiversityFrom1BigSamplesAtDepth3	DriverDiversityFrom1BigSamplesAtDepth4	DriverDiversityFrom1BigSamplesAtDepth5	DriverDiversityFrom1BigSamplesAtDepth6	DriverDiversityFrom1BigSamplesAtDepth7	DriverDiversityFrom1BigSamplesAtDepth8	DriverDiversityFrom1BigSamplesAtDepth9	DriverDiversityFrom1BigSamplesAtDepth10	DriverDiversityFrom1BigRandomSamples	DriverDiversityFrom2SamplesAtDepth0	DriverDiversityFrom2SamplesAtDepth1	DriverDiversityFrom2SamplesAtDepth2	DriverDiversityFrom2SamplesAtDepth3	DriverDiversityFrom2SamplesAtDepth4	DriverDiversityFrom2SamplesAtDepth5	DriverDiversityFrom2SamplesAtDepth6	DriverDiversityFrom2SamplesAtDepth7	DriverDiversityFrom2SamplesAtDepth8	DriverDiversityFrom2SamplesAtDepth9	DriverDiversityFrom2SamplesAtDepth10	DriverDiversityFrom2RandomSamples	DriverDiversityFrom2BigSamplesAtDepth0	DriverDiversityFrom2BigSamplesAtDepth1	DriverDiversityFrom2BigSamplesAtDepth2	DriverDiversityFrom2BigSamplesAtDepth3	DriverDiversityFrom2BigSamplesAtDepth4	DriverDiversityFrom2BigSamplesAtDepth5	DriverDiversityFrom2BigSamplesAtDepth6	DriverDiversityFrom2BigSamplesAtDepth7	DriverDiversityFrom2BigSamplesAtDepth8	DriverDiversityFrom2BigSamplesAtDepth9	DriverDiversityFrom2BigSamplesAtDepth10	DriverDiversityFrom2BigRandomSamples	DriverDiversityFrom4SamplesAtDepth0	DriverDiversityFrom4SamplesAtDepth1	DriverDiversityFrom4SamplesAtDepth2	DriverDiversityFrom4SamplesAtDepth3	DriverDiversityFrom4SamplesAtDepth4	DriverDiversityFrom4SamplesAtDepth5	DriverDiversityFrom4SamplesAtDepth6	DriverDiversityFrom4SamplesAtDepth7	DriverDiversityFrom4SamplesAtDepth8	DriverDiversityFrom4SamplesAtDepth9	DriverDiversityFrom4SamplesAtDepth10	DriverDiversityFrom4RandomSamples	DriverDiversityFrom4BigSamplesAtDepth0	DriverDiversityFrom4BigSamplesAtDepth1	DriverDiversityFrom4BigSamplesAtDepth2	DriverDiversityFrom4BigSamplesAtDepth3	DriverDiversityFrom4BigSamplesAtDepth4	DriverDiversityFrom4BigSamplesAtDepth5	DriverDiversityFrom4BigSamplesAtDepth6	DriverDiversityFrom4BigSamplesAtDepth7	DriverDiversityFrom4BigSamplesAtDepth8	DriverDiversityFrom4BigSamplesAtDepth9	DriverDiversityFrom4BigSamplesAtDepth10	DriverDiversityFrom4BigRandomSamples
719.232971	415000	4.866962	5.270139	1.112084	1.000000	1.000000	1.649076	1.240328	2.072671	1.156336	1.000000	1.061797	1.000000	1.000000	1.087743	4.336514	1.657534	2.000000	2.492299	2.895960	2.630466	2.137785	2.556237	2.099738	1.999167	1.021388	1.054904	4.826255	1.728921	3.993652	4.608576	6.526669	4.170770	2.691246	2.072067	2.723736	2.793827	1.005155	1.022036	4.933399	1.000000	1.000000	2.547008	1.564276	2.905263	1.922733	1.064370	1.976904	1.054690	1.011919	1.181577	4.933010	1.999532	1.999997	3.000448	3.056223	2.993299	2.558220	2.521810	3.005646	2.054166	1.050434	1.178458	4.779863	2.454401	4.015784	5.146532	6.421227	4.329439	2.653268	1.926591	3.233104	2.934299	1.350654	1.134950	4.833498
720.100281	418084	4.863961	4.909500	1.115397	1.000000	1.000000	1.421666	1.214347	2.128219	1.207035	1.000000	1.172608	1.000000	1.000000	1.000000	4.892368	1.700885	2.000000	2.427705	2.970842	2.688530	2.193752	2.576655	2.119542	1.998089	1.032250	1.110161	5.007511	2.427529	3.990427	4.407060	6.131822	4.176646	2.690865	2.018526	2.705818	2.776155	1.015503	1.038342	4.209419	1.000000	1.000000	2.448411	1.481402	2.927643	1.941986	1.084850	2.032537	1.067673	1.016866	1.176568	5.296386	1.997625	1.999999	2.959187	3.031972	3.031179	2.574319	2.467463	3.059560	2.080644	1.046843	1.181207	4.787094	2.556460	4.016022	5.152040	6.437607	4.297839	2.720307	1.928097	3.304105	2.946309	1.346809	1.138449	4.816872
720.631287	420000	4.868722	4.666685	1.117654	1.000000	1.000000	1.426015	1.543962	2.329021	1.260485	1.000000	1.040799	1.000000	1.000000	1.042534	4.844961	1.492228	2.000000	2.433152	2.951176	2.707042	2.231207	2.588997	2.079867	1.998089	1.021274	1.042087	4.964011	2.846525	4.012519	4.609818	6.289389	4.098960	2.710250	2.005918	2.728281	2.765116	1.010336	1.027022	4.664451	1.000000	1.000000	2.481758	1.476104	2.981267	1.958187	1.074313	2.027548	1.057377	1.019345	1.190224	5.350226	1.989116	1.999999	2.961111	3.274051	3.026390	2.575246	2.528647	3.086380	2.065132	1.039155	1.213605	4.656946	2.643031	4.028926	5.158998	6.452363	4.271498	2.698484	2.007978	3.322345	2.945906	1.327592	1.146178	5.096389
722.017151	425000	4.862460	4.600401	1.118443	1.000000	1.000000	1.152871	1.316639	2.450046	1.453858	1.020200	1.149690	1.000000	1.000000	1.000000	4.003202	1.293398	2.000000	2.213716	3.008625	2.754549	2.335507	2.702338	2.178412	1.995569	1.021274	1.010050	4.202564	3.282878	4.029353	4.524856	5.867443	4.065280	2.741817	2.359017	2.889363	2.780918	1.010283	1.015956	5.773255	1.000000	1.000000	2.307350	1.473441	3.067942	1.974671	1.086614	2.177718	1.049683	1.039201	1.221748	4.680421	1.898592	1.999994	2.891549	3.326141	3.077952	2.593132	2.655644	3.175727	2.080701	1.061758	1.202414	4.942958	2.985036	4.014949	5.184584	6.538356	4.185925	2.682357	2.125983	3.577465	2.951307	1.328270	1.168492	4.899664
723.375610	430000	4.860898	4.476712	1.120724	1.000000	1.000000	1.224290	1.184450	2.453059	1.578837	1.063095	1.020200	1.000000	1.000000	1.000000	3.885004	1.384615	2.000000	2.213362	3.209296	2.833563	2.396256	2.660990	2.019998	2.015414	1.064757	1.000000	5.002501	3.368421	4.010864	4.497593	5.677209	3.821334	2.754230	2.375966	3.162870	2.754745	1.015384	1.005263	5.354035	1.000000	1.000000	2.301236	1.522566	3.161290	1.991508	1.090924	2.264253	1.075691	1.067172	1.183564	4.609230	1.667745	2.002374	2.892712	3.378189	2.893053	2.604388	2.768403	3.172817	2.109466	1.079696	1.165517	4.869142	3.340812	4.031084	5.230119	6.586596	3.851705	2.595857	2.328616	3.835768	2.966433	1.333638	1.161050	4.906618
724.741028	435000	4.855834	4.902166	1.117726	1.000000	1.000000	1.393146	1.678689	2.666228	1.750216	1.087562	1.020200	1.000000	1.000000	1.000000	4.166667	1.565642	2.000000	2.125963	3.363636	2.853755	2.472785	2.812299	2.102993	2.013018	1.020671	1.000000	5.442177	3.538678	4.010864	4.602585	5.974349	3.627322	2.795564	2.420724	3.381923	2.742414	1.005089	1.005277	4.027386	1.000000	1.007238	2.373410	1.570329	3.055703	1.999948	1.176971	2.380305	1.081114	1.095980	1.132575	4.865139	1.591634	2.004772	2.894612	3.526146	2.960289	2.614098	2.912502	3.500730	2.121617	1.066346	1.130213	4.695056	3.484425	4.056205	5.335592	6.815839	3.675026	2.574894	2.458251	4.200972	2.959991	1.325402	1.119003	4.831426
726.220459	440000	4.862047	3.963908	1.110461	1.000000	1.000000	1.195886	1.850523	2.261307	1.996057	1.328776	1.083189	1.000000	1.020200	1.000000	6.016847	1.399334	2.000000	2.217049	2.508857	3.863076	2.672533	2.725048	2.502468	1.999949	1.010050	1.000000	4.547522	2.971076	4.065540	4.651308	5.529014	3.784222	2.867412	2.254610	4.013582	2.795534	1.010050	1.000000	4.974815	1.000000	1.009673	2.285966	1.739773	2.976225	1.950542	1.272933	2.606828	1.052034	1.122301	1.103649	4.372885	1.725744	2.021684	2.809208	2.443786	4.641434	2.646895	2.891616	3.678084	2.188543	1.091514	1.082776	4.932049	2.809372	4.063180	5.270154	5.489141	4.523365	2.525556	2.527233	4.616377	3.021301	1.321071	1.106100	5.029220
727.727966	445000	4.874623	3.521638	1.107680	1.000000	1.000000	1.061797	1.893540	2.247218	1.808035	1.698916	1.155716	1.000000	1.000000	1.000000	3.660322	1.899923	2.000000	2.217049	2.516442	3.918519	2.499103	3.212991	2.408225	2.000000	1.000000	1.000000	5.056890	3.725085	4.047581	4.585346	5.207730	3.949729	2.820339	2.399822	4.112957	2.800170	1.015113	1.000000	4.909482	1.000000	1.012121	2.268569	1.819104	2.767748	1.704612	1.548289	2.673696	1.039178	1.154705	1.067339	5.394732	1.830940	2.007235	2.794175	2.596438	4.705046	2.496181	3.116934	3.753256	2.197599	1.124405	1.068629	4.994943	2.991386	4.071469	5.305722	5.714498	4.516943	2.490742	2.741165	4.919717	3.039296	1.336506	1.099501	5.017102
729.006714	450000	4.890128	3.853693	1.109907	1.000000	1.000000	1.448436	1.000000	1.084363	1.522534	1.937234	1.172608	1.000000	1.000000	1.000000	4.930966	1.039984	2.000000	2.295948	1.999796	2.724940	2.555333	3.038576	2.408188	2.000000	1.000000	1.000000	5.494505	3.039728	4.031140	4.841497	4.511494	4.107702	2.890067	2.549165	4.181511	2.810975	1.005013	1.000000	4.625080	1.012578	1.000000	1.455277	1.328085	1.901739	1.803370	1.785770	2.368215	1.171698	1.166372	1.087990	5.131521	1.926736	1.999993	2.366271	2.302243	4.022879	2.618159	3.414360	3.481284	2.348214	1.150133	1.064811	5.026869	3.067497	4.066682	4.937340	5.264964	4.687419	2.491925	3.029317	4.866678	3.152390	1.353494	1.101676	4.774683
730.100342	454615	4.924698	3.873807	1.116826	1.000000	1.000000	1.332978	1.000000	1.020200	1.292324	1.950078	1.149690	1.000000	1.000000	1.000000	4.859087	1.039984	2.000000	2.344941	1.999167	2.509035	2.259536	3.115047	2.566735	2.000000	1.000000	1.000000	4.184976	3.039728	4.031140	4.778511	4.462504	4.115789	2.875236	2.543687	4.166667	2.789348	1.000000	1.000000	5.472331	1.025312	1.000000	1.504259	1.352105	1.929428	1.630906	2.268100	2.442698	1.137275	1.207813	1.080376	5.038646	1.651735	1.999997	2.401580	2.325176	3.894218	2.505862	3.762013	3.514023	2.341596	1.196186	1.074169	4.994282	3.346282	4.084136	4.991874	5.200433	4.743465	2.446837	3.254118	4.997948	3.083322	1.353304	1.109290	4.853795
