Generation	Size	Frequency	Count
70.058044	74	0.142035	5
70.058044	11	0.021113	17
70.058044	31	0.059501	5
70.058044	13	0.024952	13
70.058044	157	0.301344	5
70.058044	110	0.211132	2
70.058044	61	0.117083	4
70.058044	20	0.038388	7
70.058044	57	0.109405	5
70.058044	14	0.026871	2
70.058044	21	0.040307	3
70.058044	12	0.023033	3
70.058044	149	0.285988	2
70.058044	16	0.030710	4
70.058044	101	0.193858	2
70.058044	45	0.086372	2
70.058044	143	0.274472	1
70.058044	15	0.028791	2
70.058044	35	0.067179	2
70.058044	51	0.097889	2
70.058044	18	0.034549	1
70.058044	34	0.065259	1
70.058044	29	0.055662	2
80.061272	1	0.001773	97
80.061272	2	0.003546	51
80.061272	3	0.005319	43
80.061272	4	0.007092	32
80.061272	5	0.008865	20
80.061272	6	0.010638	3
80.061272	7	0.012411	9
80.061272	8	0.014184	18
80.061272	9	0.015957	6
80.061272	10	0.017730	3
80.061272	564	1.000000	1
80.061272	191	0.338652	1
80.061272	155	0.274823	8
80.061272	110	0.195035	4
80.061272	36	0.063830	17
80.061272	135	0.239362	3
80.061272	126	0.223404	1
80.061272	74	0.131206	5
80.061272	20	0.035461	13
80.061272	114	0.202128	5
80.061272	132	0.234043	11
80.061272	66	0.117021	4
80.061272	12	0.021277	10
80.061272	31	0.054965	9
80.061272	101	0.179078	3
80.061272	112	0.198582	3
80.061272	34	0.060284	2
80.061272	32	0.056738	7
80.061272	69	0.122340	2
80.061272	13	0.023050	6
80.061272	17	0.030142	1
80.061272	11	0.019504	6
80.061272	19	0.033688	1
80.061272	24	0.042553	4
80.061272	131	0.232270	1
80.061272	90	0.159574	3
80.061272	18	0.031915	2
80.061272	28	0.049645	1
80.061272	45	0.079787	1
80.061272	41	0.072695	1
80.061272	23	0.040780	1
90.063957	1	0.001364	141
90.063957	2	0.002729	59
90.063957	3	0.004093	37
90.063957	4	0.005457	56
90.063957	5	0.006821	17
90.063957	6	0.008186	25
90.063957	7	0.009550	5
90.063957	8	0.010914	6
90.063957	9	0.012278	13
90.063957	10	0.013643	14
90.063957	733	1.000000	1
90.063957	246	0.335607	1
90.063957	204	0.278308	8
90.063957	172	0.234652	4
90.063957	42	0.057299	6
90.063957	179	0.244202	13
90.063957	24	0.032742	11
90.063957	206	0.281037	1
90.063957	148	0.201910	5
90.063957	25	0.034106	12
90.063957	30	0.040928	17
90.063957	191	0.260573	8
90.063957	109	0.148704	2
90.063957	144	0.196453	4
90.063957	15	0.020464	14
90.063957	12	0.016371	15
90.063957	17	0.023192	5
90.063957	161	0.219645	1
90.063957	62	0.084584	2
90.063957	92	0.125512	2
90.063957	82	0.111869	4
90.063957	91	0.124147	2
90.063957	11	0.015007	9
90.063957	13	0.017735	15
90.063957	83	0.113233	1
90.063957	147	0.200546	3
90.063957	58	0.079127	1
90.063957	53	0.072306	1
90.063957	32	0.043656	1
90.063957	16	0.021828	3
90.063957	37	0.050477	1
90.063957	50	0.068213	2
90.063957	59	0.080491	3
90.063957	48	0.065484	1
90.063957	56	0.076398	3
90.063957	29	0.039563	1
90.063957	14	0.019100	1
90.063957	69	0.094134	1
