Generation	Size	Frequency	Count
130.070816	25	0.009579	1
130.070816	14	0.005364	1
130.070816	13	0.004981	1
130.070816	24	0.009195	1
140.071533	1	0.000344	550
140.071533	2	0.000688	253
140.071533	3	0.001031	136
140.071533	4	0.001375	58
140.071533	5	0.001719	54
140.071533	6	0.002063	26
140.071533	7	0.002406	28
140.071533	8	0.002750	12
140.071533	9	0.003094	10
140.071533	10	0.003438	8
140.071533	13	0.004469	2
140.071533	12	0.004125	5
140.071533	22	0.007563	1
140.071533	14	0.004813	3
140.071533	11	0.003781	5
140.071533	17	0.005844	1
140.071533	16	0.005500	3
140.071533	15	0.005156	1
140.071533	19	0.006531	1
140.071533	21	0.007219	1
150.072098	1	0.000307	604
150.072098	2	0.000613	241
150.072098	3	0.000920	120
150.072098	4	0.001227	75
150.072098	5	0.001534	47
150.072098	6	0.001840	30
150.072098	7	0.002147	20
150.072098	8	0.002454	20
150.072098	9	0.002761	12
150.072098	10	0.003067	10
150.072098	13	0.003988	4
150.072098	21	0.006442	2
150.072098	12	0.003681	6
150.072098	20	0.006135	1
150.072098	14	0.004294	11
150.072098	22	0.006748	1
150.072098	15	0.004601	3
150.072098	11	0.003374	3
150.072098	24	0.007362	1
150.072098	23	0.007055	1
150.072098	18	0.005521	4
150.072098	16	0.004908	2
160.073410	1	0.000252	683
160.073410	2	0.000503	291
160.073410	3	0.000755	165
160.073410	4	0.001006	83
160.073410	5	0.001258	66
160.073410	6	0.001509	48
160.073410	7	0.001761	34
160.073410	8	0.002013	21
160.073410	9	0.002264	15
160.073410	10	0.002516	14
160.073410	14	0.003522	3
160.073410	12	0.003019	6
160.073410	20	0.005031	1
160.073410	24	0.006038	1
160.073410	16	0.004025	4
160.073410	22	0.005535	4
160.073410	19	0.004780	1
160.073410	13	0.003270	6
160.073410	11	0.002767	4
160.073410	23	0.005786	1
160.073410	15	0.003774	2
160.073410	18	0.004528	2
160.073410	17	0.004277	1
160.073410	27	0.006792	1
170.074203	1	0.000227	823
170.074203	2	0.000453	340
170.074203	3	0.000680	176
170.074203	4	0.000906	106
170.074203	5	0.001133	69
170.074203	6	0.001360	44
170.074203	7	0.001586	34
170.074203	8	0.001813	30
170.074203	9	0.002039	16
170.074203	10	0.002266	13
170.074203	11	0.002493	12
170.074203	14	0.003172	3
170.074203	20	0.004532	1
170.074203	12	0.002719	9
170.074203	21	0.004759	1
170.074203	15	0.003399	3
170.074203	13	0.002946	7
170.074203	29	0.006571	1
170.074203	18	0.004079	1
170.074203	16	0.003626	2
170.074203	19	0.004305	1
170.074203	23	0.005212	1
170.074203	17	0.003852	1
178.069061	1	0.000200	951
178.069061	2	0.000400	366
178.069061	3	0.000600	188
178.069061	4	0.000800	115
178.069061	5	0.001000	87
178.069061	6	0.001200	57
178.069061	7	0.001400	36
178.069061	8	0.001600	26
178.069061	9	0.001800	20
178.069061	10	0.002000	16
178.069061	28	0.005600	1
178.069061	19	0.003800	1
178.069061	11	0.002200	13
178.069061	16	0.003200	5
178.069061	12	0.002400	6
178.069061	13	0.002600	13
178.069061	17	0.003400	2
178.069061	15	0.003000	3
178.069061	14	0.002800	5
178.069061	18	0.003600	2
178.069061	20	0.004000	1
180.074905	1	0.000190	992
180.074905	2	0.000381	382
180.074905	3	0.000571	207
180.074905	4	0.000761	135
180.074905	5	0.000951	85
180.074905	6	0.001142	62
180.074905	7	0.001332	39
180.074905	8	0.001522	37
180.074905	9	0.001712	20
180.074905	10	0.001903	13
180.074905	28	0.005327	1
180.074905	17	0.003234	3
180.074905	16	0.003044	6
180.074905	20	0.003805	2
180.074905	11	0.002093	4
180.074905	19	0.003615	1
180.074905	13	0.002473	7
180.074905	12	0.002283	9
180.074905	14	0.002664	7
180.074905	18	0.003425	2
180.074905	15	0.002854	2
180.074905	22	0.004186	1
190.075378	1	0.000176	1067
190.075378	2	0.000351	448
190.075378	3	0.000527	265
190.075378	4	0.000702	135
190.075378	5	0.000878	85
190.075378	6	0.001054	54
