NumCells	NumSamples	CellsPerSample	SampleDepth	Generation	Identity	DriverIdentity	Parent	Population	BirthRate	MigrationRate	OriginTime	DriverMutations	MigrationMutations	PassengerMutations
521	1	-1	-1	70.058044	0	0	0	521	1.000000	0.001458	0.000000	0	0	0
527	1	-1	-1	71.058060	0	0	0	527	1.000000	0.001458	0.000000	0	0	0
527	1	-1	-1	72.058472	0	0	0	527	1.000000	0.001458	0.000000	0	0	0
526	1	-1	-1	73.058792	0	0	0	526	1.000000	0.001458	0.000000	0	0	0
535	1	-1	-1	74.059341	0	0	0	535	1.000000	0.001458	0.000000	0	0	0
553	1	-1	-1	75.059677	0	0	0	553	1.000000	0.001458	0.000000	0	0	0
549	1	-1	-1	76.059921	0	0	0	549	1.000000	0.001458	0.000000	0	0	0
557	1	-1	-1	77.060585	0	0	0	557	1.000000	0.001458	0.000000	0	0	0
542	1	-1	-1	78.060776	0	0	0	542	1.000000	0.001458	0.000000	0	0	0
552	1	-1	-1	79.060959	0	0	0	552	1.000000	0.001458	0.000000	0	0	0
564	1	-1	-1	80.061272	0	0	0	564	1.000000	0.001458	0.000000	0	0	0
573	1	-1	-1	81.061531	0	0	0	573	1.000000	0.001458	0.000000	0	0	0
598	1	-1	-1	82.061630	0	0	0	598	1.000000	0.001458	0.000000	0	0	0
628	1	-1	-1	83.062286	0	0	0	628	1.000000	0.001458	0.000000	0	0	0
645	1	-1	-1	84.062645	0	0	0	645	1.000000	0.001458	0.000000	0	0	0
663	1	-1	-1	85.062691	0	0	0	663	1.000000	0.001458	0.000000	0	0	0
684	1	-1	-1	86.063095	0	0	0	684	1.000000	0.001458	0.000000	0	0	0
686	1	-1	-1	87.063110	0	0	0	686	1.000000	0.001458	0.000000	0	0	0
699	1	-1	-1	88.063210	0	0	0	699	1.000000	0.001458	0.000000	0	0	0
720	1	-1	-1	89.063904	0	0	0	720	1.000000	0.001458	0.000000	0	0	0
733	1	-1	-1	90.063957	0	0	0	733	1.000000	0.001458	0.000000	0	0	0
729	1	-1	-1	91.064552	0	0	0	729	1.000000	0.001458	0.000000	0	0	0
739	1	-1	-1	92.064636	0	0	0	739	1.000000	0.001458	0.000000	0	0	0
803	1	-1	-1	93.065079	0	0	0	803	1.000000	0.001458	0.000000	0	0	0
801	1	-1	-1	94.065140	0	0	0	801	1.000000	0.001458	0.000000	0	0	0
819	1	-1	-1	95.065170	0	0	0	819	1.000000	0.001458	0.000000	0	0	0
860	1	-1	-1	96.065254	0	0	0	860	1.000000	0.001458	0.000000	0	0	0
875	1	-1	-1	97.065384	0	0	0	875	1.000000	0.001458	0.000000	0	0	0
908	1	-1	-1	98.065399	0	0	0	908	1.000000	0.001458	0.000000	0	0	0
959	1	-1	-1	99.065453	0	0	0	959	1.000000	0.001458	0.000000	0	0	0
999	1	-1	-1	100.065453	0	0	0	999	1.000000	0.001458	0.000000	0	0	0
1034	1	-1	-1	101.065544	0	0	0	1034	1.000000	0.001458	0.000000	0	0	0
1072	1	-1	-1	102.065544	0	0	0	1072	1.000000	0.001458	0.000000	0	0	0
1141	1	-1	-1	103.065643	0	0	0	1141	1.000000	0.001458	0.000000	0	0	0
1246	1	-1	-1	104.066025	0	0	0	1246	1.000000	0.001458	0.000000	0	0	0
1340	1	-1	-1	105.066246	0	0	0	1340	1.000000	0.001458	0.000000	0	0	0
1347	1	-1	-1	106.066605	0	0	0	1347	1.000000	0.001458	0.000000	0	0	0
1416	1	-1	-1	107.066719	0	0	0	1416	1.000000	0.001458	0.000000	0	0	0
1430	1	-1	-1	108.066849	0	0	0	1430	1.000000	0.001458	0.000000	0	0	0
1522	1	-1	-1	109.066933	0	0	0	1522	1.000000	0.001458	0.000000	0	0	0
1590	1	-1	-1	110.067223	0	0	0	1590	1.000000	0.001458	0.000000	0	0	0
1643	1	-1	-1	111.067276	0	0	0	1643	1.000000	0.001458	0.000000	0	0	0
1746	1	-1	-1	112.067619	0	0	0	1746	1.000000	0.001458	0.000000	0	0	0
1825	1	-1	-1	113.067795	0	0	0	1825	1.000000	0.001458	0.000000	0	0	0
1919	1	-1	-1	114.067886	0	0	0	1919	1.000000	0.001458	0.000000	0	0	0
1982	1	-1	-1	115.068352	0	0	0	1982	1.000000	0.001458	0.000000	0	0	0
2012	1	-1	-1	116.068382	0	0	0	2012	1.000000	0.001458	0.000000	0	0	0
2044	1	-1	-1	117.068642	0	0	0	2044	1.000000	0.001458	0.000000	0	0	0
