Generation	NumCells	TotalBirths	TotalDeaths	TotalMigrations	Passengers	Drivers	VarPassengers	VarDrivers	MeanBirthRate	MeanMigrationRate	VarBirthRate	VarMigRate	NumClones	NumGenotypes	NumDriverGenotypes	NumDemes	NumNon-EmptyDemes	MatrixColumns	DriverMatrixColumns	EverGenotypes	CellsWith0Drivers	CellsWith1Drivers	CellsWith2Drivers	CellsWith3Drivers	CellsWith4Drivers	CellsWith5Drivers	CellsWith6Drivers	CellsWith7Drivers	CellsWith8Drivers	CellsWith9Drivers	CellsWith10Drivers
140.083282	3162	127971	124810	179	28.689121	0.000000	22.745556	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	1203	1196	1	15	12	7776	2	24154	3162	0	0	0	0	0	0	0	0	0	0
141.083298	3230	131239	128010	184	28.804335	0.000000	22.922695	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	1216	1210	1	15	12	7958	2	24790	3230	0	0	0	0	0	0	0	0	0	0
142.083481	3256	134482	131227	191	28.969288	0.000000	22.777359	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	1256	1249	1	16	12	8167	2	25391	3256	0	0	0	0	0	0	0	0	0	0
143.083527	3341	137805	134465	195	29.118229	0.000000	22.398218	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	1253	1249	1	16	12	8374	2	26020	3341	0	0	0	0	0	0	0	0	0	0
144.083618	3410	141167	137758	196	29.325514	0.000000	22.190247	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	1291	1289	1	16	12	8597	2	26647	3410	0	0	0	0	0	0	0	0	0	0
145.083633	3516	144607	141092	200	29.483503	0.000000	21.357250	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	1295	1291	1	16	12	8772	2	27276	3516	0	0	0	0	0	0	0	0	0	0
146.083954	3490	148087	144598	206	29.729227	0.000000	23.465616	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	1332	1327	1	16	13	8964	2	27934	3490	0	0	0	0	0	0	0	0	0	0
147.084061	3550	151477	147928	211	29.729858	0.000000	23.543570	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	1353	1347	1	16	13	9173	2	28569	3550	0	0	0	0	0	0	0	0	0	0
148.084259	3612	155002	151391	219	29.911961	0.000000	24.010031	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	1367	1359	1	17	14	9386	2	29244	3612	0	0	0	0	0	0	0	0	0	0
149.084366	3713	158535	154823	227	30.138433	0.000000	25.468058	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	1391	1383	1	17	14	9611	2	29922	3713	0	0	0	0	0	0	0	0	0	0
