Population	Parent	Identity	DriverIdentity	DriverMutations	MigrationMutations	Immortal	PassengerMutations	BirthRate	MigrationRate	OriginTime	Descendants
567	159	2454	2454	4	0	1	0	2.603858	0.001458	595.757629	567
213	956	2337	2337	4	0	1	0	2.406386	0.001458	592.887085	213
7	159	2296	2296	4	0	1	0	2.628008	0.001458	591.987366	7
153	126	2770	2770	3	0	1	0	2.620177	0.001458	601.668518	153
303	126	2726	2726	3	0	1	1	2.711692	0.001458	600.851562	303
270	126	2359	2359	3	0	1	0	2.457211	0.001458	593.589417	270
242	159	2346	2346	4	0	1	0	2.506938	0.001458	593.078125	242
82	159	2424	2424	4	0	1	1	2.477569	0.001458	594.901428	82
51	126	2574	2574	3	0	1	0	2.491557	0.001458	598.259827	51
952	109	2428	2428	3	0	1	0	2.374342	0.001458	594.982117	952
158	1652	2929	2929	6	0	1	0	6.587534	0.001458	604.588013	158
598	159	2388	2388	4	0	1	0	2.738608	0.001458	594.167969	598
109	126	2491	2491	3	0	1	1	2.437700	0.001458	596.576294	109
10	159	3150	3150	4	0	1	0	2.398841	0.001458	608.137085	10
20	126	2500	2500	3	0	1	0	2.370632	0.001458	596.786438	20
357	1186	2418	2418	5	0	1	0	3.292523	0.001458	594.740906	357
278	159	2567	2567	4	0	1	0	2.486768	0.001458	598.062439	278
53	710	2633	2633	4	0	1	0	3.195441	0.001458	599.199524	53
228	159	2468	2468	4	0	1	0	2.540638	0.001458	596.061890	228
17	159	3162	3162	4	0	1	0	2.384279	0.001458	608.280029	17
16	126	2610	2610	3	0	1	0	2.410899	0.001458	598.850891	16
8	159	3273	3273	4	0	1	0	2.382382	0.001458	610.040771	8
24	126	3023	3023	3	0	1	0	2.502386	0.001458	606.341125	24
1279	1688	2723	2723	6	0	1	0	4.892498	0.001458	600.786133	1279
175	1204	2595	2595	5	0	1	0	3.332770	0.001458	598.554932	175
65	159	2581	2581	4	0	1	0	2.347921	0.001458	598.307678	65
106	1204	2582	2582	5	0	1	0	3.199683	0.001458	598.325195	106
148	347	2765	2765	4	0	1	0	3.270059	0.001458	601.542297	148
10	1710	2589	2589	6	0	1	0	4.382742	0.001458	598.460815	10
