Generation	Size	Frequency	Count
180.079865	2	0.000407	1
180.079865	3	0.000610	0
180.079865	4	0.000813	0
180.079865	5	0.001017	0
180.079865	6	0.001220	0
180.079865	7	0.001423	0
180.079865	8	0.001627	0
180.079865	9	0.001830	0
180.079865	10	0.002033	0
180.079865	4915	0.999390	1
182.011002	1	0.000200	0
182.011002	2	0.000400	0
182.011002	3	0.000600	0
182.011002	4	0.000800	0
182.011002	5	0.001000	0
182.011002	6	0.001200	0
182.011002	7	0.001400	1
182.011002	8	0.001600	0
182.011002	9	0.001800	0
182.011002	10	0.002000	0
182.011002	4973	0.994600	1
182.011002	20	0.004000	1
190.080399	1	0.000169	0
190.080399	2	0.000339	1
190.080399	3	0.000508	0
190.080399	4	0.000678	0
190.080399	5	0.000847	0
190.080399	6	0.001016	0
190.080399	7	0.001186	0
190.080399	8	0.001355	0
190.080399	9	0.001525	0
190.080399	10	0.001694	0
190.080399	5672	0.960867	1
190.080399	229	0.038794	1
200.080856	1	0.000147	0
200.080856	2	0.000294	0
200.080856	3	0.000441	0
200.080856	4	0.000588	0
200.080856	5	0.000735	0
200.080856	6	0.000882	0
200.080856	7	0.001029	0
200.080856	8	0.001175	0
200.080856	9	0.001322	0
200.080856	10	0.001469	0
200.080856	6334	0.930649	1
200.080856	472	0.069351	1
210.081573	1	0.000128	0
210.081573	2	0.000257	0
210.081573	3	0.000385	0
210.081573	4	0.000513	0
210.081573	5	0.000642	0
210.081573	6	0.000770	0
210.081573	7	0.000898	0
210.081573	8	0.001027	0
210.081573	9	0.001155	0
210.081573	10	0.001283	0
210.081573	7003	0.898742	1
210.081573	789	0.101258	1
220.082184	1	0.000107	0
220.082184	2	0.000214	0
220.082184	3	0.000321	0
220.082184	4	0.000429	0
220.082184	5	0.000536	0
220.082184	6	0.000643	0
220.082184	7	0.000750	0
220.082184	8	0.000857	0
220.082184	9	0.000964	0
220.082184	10	0.001071	0
220.082184	7457	0.798907	1
220.082184	1877	0.201093	1
225.582397	1	0.000100	1
225.582397	2	0.000200	0
225.582397	3	0.000300	0
225.582397	4	0.000400	0
225.582397	5	0.000500	0
225.582397	6	0.000600	0
225.582397	7	0.000700	0
