Population	Parent	Identity	DriverIdentity	DriverMutations	MigrationMutations	Immortal	PassengerMutations	BirthRate	MigrationRate	OriginTime	Descendants
0	0	0	0	0	0	1	0	1.000000	0.001458	0.000000	1000000
5863	0	5	5	1	0	1	0	1.290738	0.001458	179.925797	1000000
179525	5	44	44	2	0	1	1	1.781790	0.001458	303.369568	948108
135837	44	208	208	3	0	1	1	2.429318	0.001458	392.412964	185101
0	44	237	237	3	0	1	1	2.386171	0.001458	400.942413	384902
330	208	442	442	4	0	1	1	2.527134	0.001458	439.131256	330
13064	5	394	394	2	0	1	0	1.875317	0.001458	433.308014	20327
2677	44	454	454	3	0	1	1	2.021365	0.001458	440.503357	2677
23040	5	496	496	2	0	1	0	1.798103	0.001458	445.982361	24222
23035	44	698	698	3	0	1	1	2.490948	0.001458	471.144196	28281
3783	44	729	729	3	0	1	1	2.740783	0.001458	474.023499	117709
12088	44	1238	1238	3	0	1	2	2.355879	0.001458	510.089233	12090
9490	44	796	796	3	0	1	1	2.196649	0.001458	479.453186	9495
1332	208	898	898	4	0	1	1	2.678620	0.001458	486.826111	1332
0	237	994	994	4	0	1	1	3.215869	0.001458	493.351898	384902
16	44	1029	1029	3	0	1	1	2.267809	0.001458	495.587616	142
1480	5	1233	1233	2	0	1	0	1.297615	0.001458	509.436310	1480
609	44	1143	1143	3	0	1	1	1.928571	0.001458	503.977905	609
1484	44	1147	1147	3	0	1	1	2.004354	0.001458	504.114655	1484
7726	208	1627	1627	4	0	1	1	2.968661	0.001458	530.268433	7726
412	44	1928	1928	3	0	1	1	1.854432	0.001458	543.472351	412
7120	394	1282	1282	3	0	1	0	2.294725	0.001458	512.310852	7120
4532	208	1256	1256	4	0	1	1	3.139956	0.001458	510.896484	4583
67	208	1291	1291	4	0	1	1	2.646516	0.001458	512.514343	67
280278	994	1390	1390	5	0	1	1	4.653647	0.001458	517.968872	384902
99081	729	1453	1453	4	0	1	1	3.610044	0.001458	521.368652	106390
3668	44	1379	1379	3	0	1	1	2.440360	0.001458	517.597595	4609
426	208	1669	1669	4	0	1	2	2.559622	0.001458	532.333435	426
4906	208	1513	1513	4	0	1	1	2.853665	0.001458	524.779602	4936
3295	698	1505	1505	4	0	1	1	3.052477	0.001458	524.368286	3295
4454	208	1447	1447	4	0	1	1	2.712893	0.001458	520.749573	5139
4667	44	1459	1459	3	0	1	1	2.297256	0.001458	521.566711	4667
1937	1453	2048	2048	5	0	1	1	3.936289	0.001458	547.398254	1937
17377	208	1660	1660	4	0	1	1	3.520879	0.001458	531.830750	19570
501	44	1589	1589	3	0	1	1	1.937603	0.001458	528.397034	501
2966	44	1562	1562	3	0	1	2	2.082647	0.001458	527.268188	2966
333	208	1706	1706	4	0	1	1	2.554224	0.001458	534.478027	333
757	44	2043	2043	3	0	1	1	1.912447	0.001458	547.245300	757
1583	698	1584	1584	4	0	1	1	3.000987	0.001458	528.302917	1583
156	496	1577	1577	3	0	1	0	1.961852	0.001458	527.934998	156
1852	208	1732	1732	4	0	1	1	2.904834	0.001458	535.880981	1852
338	44	1696	1696	3	0	1	1	2.070380	0.001458	533.733337	338
12	208	1816	1816	4	0	1	1	2.694243	0.001458	539.302795	12
444	496	1795	1795	3	0	1	0	1.940785	0.001458	538.483582	444
1708	44	1726	1726	3	0	1	1	2.261266	0.001458	535.580750	1708
51	1256	1950	1950	5	0	1	1	3.178965	0.001458	544.192688	51
403	44	1738	1738	3	0	1	1	1.972130	0.001458	536.132385	403
54	698	1769	1769	4	0	1	1	2.609113	0.001458	537.113708	55
335	1660	2470	2470	5	0	1	1	4.235858	0.001458	560.980957	335
1522	44	1768	1768	3	0	1	2	2.132908	0.001458	537.096313	1522
278	44	1859	1859	3	0	1	1	1.819681	0.001458	540.827637	278
662	44	1999	1999	3	0	1	1	1.968670	0.001458	545.607544	662
1361	44	1914	1914	3	0	1	1	1.974469	0.001458	542.939697	1361
126	1029	1912	1912	4	0	1	1	2.494347	0.001458	542.902161	126
1077	1390	1995	1995	6	0	1	1	4.827101	0.001458	545.403076	1077
231	44	2054	2054	3	0	1	1	1.869944	0.001458	547.586487	231
73991	1390	1927	1927	6	0	1	1	5.641272	0.001458	543.466003	94459
34	208	3484	3484	4	0	1	1	2.739916	0.001458	581.190918	34
3200	1453	2207	2207	5	0	1	1	4.100770	0.001458	552.679749	3221
117	44	1968	1968	3	0	1	1	1.849117	0.001458	544.652954	117
605	44	2045	2045	3	0	1	3	2.025907	0.001458	547.269531	605
522	44	1992	1992	3	0	1	1	1.997738	0.001458	545.377319	522
1597	1453	2022	2022	5	0	1	1	4.019415	0.001458	546.493225	1597
824	44	2341	2341	3	0	1	1	2.029061	0.001458	557.177795	824
141	208	2782	2782	4	0	1	1	2.478468	0.001458	568.614441	141
6235	729	2102	2102	4	0	1	1	3.253450	0.001458	549.215149	6314
591	1390	2414	2414	6	0	1	1	4.885198	0.001458	559.150940	591
368	208	2434	2434	4	0	1	1	2.586838	0.001458	559.875549	368
61	44	2155	2155	3	0	1	1	1.827271	0.001458	551.197327	61
1196	1660	2178	2178	5	0	1	1	3.955133	0.001458	551.910706	1196
528	44	2350	2350	3	0	1	1	1.994585	0.001458	557.380310	528
551	496	2324	2324	3	0	1	0	2.128232	0.001458	556.494385	551
18159	1927	2448	2448	7	0	1	1	6.753861	0.001458	560.310852	18218
48	1390	2666	2666	6	0	1	1	4.700125	0.001458	565.601074	48
1733	44	2495	2495	3	0	1	2	2.556861	0.001458	561.745789	1733
163	208	2534	2534	4	0	1	1	2.594452	0.001458	562.825562	163
146	44	2604	2604	3	0	1	1	1.859751	0.001458	564.329163	146
1687	1390	2527	2527	6	0	1	1	5.267486	0.001458	562.586731	1687
8	208	3029	3029	4	0	1	1	2.471162	0.001458	573.322693	8
392	1453	2957	2957	5	0	1	1	3.893522	0.001458	572.134521	392
1889	1390	2567	2567	6	0	1	2	5.268799	0.001458	563.436218	1889
70	1390	2687	2687	6	0	1	1	4.803596	0.001458	566.200439	70
2	44	2607	2607	3	0	1	1	2.049731	0.001458	564.406372	2
415	44	2617	2617	3	0	1	1	1.943269	0.001458	564.631348	415
354	1390	2643	2643	6	0	1	1	5.004657	0.001458	565.100647	354
143	394	2965	2965	3	0	1	0	2.040523	0.001458	572.308472	143
941	1379	2895	2895	4	0	1	1	2.994289	0.001458	570.934021	941
24	44	2763	2763	3	0	1	1	2.159639	0.001458	568.255920	24
19	208	3659	3659	4	0	1	1	2.539584	0.001458	583.924500	19
558	1390	2948	2948	6	0	1	1	5.031898	0.001458	572.025757	558
2040	1927	2890	2890	7	0	1	1	6.649600	0.001458	570.880554	2041
119	44	2914	2914	3	0	1	1	1.936250	0.001458	571.347778	119
1	1769	3290	3290	5	0	1	1	2.653401	0.001458	577.942993	1
29	1390	3445	3445	6	0	1	1	4.797451	0.001458	580.636719	29
51	2448	3045	3045	8	0	1	1	6.761202	0.001458	573.617859	51
1222	729	2837	2837	4	0	1	1	3.800636	0.001458	569.699219	1222
286	208	3010	3010	4	0	1	1	2.727859	0.001458	572.958252	286
197	208	2902	2902	4	0	1	1	2.587277	0.001458	571.132141	197
498	1390	2863	2863	6	0	1	1	5.017583	0.001458	570.241760	498
172	208	2870	2870	4	0	1	2	2.561523	0.001458	570.319153	172
161	1390	2907	2907	6	0	1	1	4.835244	0.001458	571.194214	161
1348	208	3021	3021	4	0	1	1	3.827194	0.001458	573.081604	1348
195	44	3053	3053	3	0	1	2	2.040491	0.001458	573.746460	195
70	1927	3276	3276	7	0	1	1	5.969537	0.001458	577.675537	70
4	44	3365	3365	3	0	1	1	1.945212	0.001458	579.103943	4
129	1927	3098	3098	7	0	1	1	5.788691	0.001458	574.510437	129
267	44	3217	3217	3	0	1	1	2.206895	0.001458	576.650757	267
669	1447	3003	3003	5	0	1	1	3.176085	0.001458	572.841187	669
