Generation	NumSamples	Depth	TargetSampleSize	ActualSampleSize
30.044741	1	7	100	100
30.044741	1	8	100	100
30.044741	1	9	100	100
30.044741	1	10	100	100
30.044741	1	0	1000	197
30.044741	1	1	1000	197
30.044741	1	2	1000	197
30.044741	1	3	1000	197
30.044741	1	4	1000	197
30.044741	1	5	1000	197
30.044741	1	6	1000	197
30.044741	1	7	1000	197
30.044741	1	8	1000	197
30.044741	1	9	1000	197
30.044741	1	10	1000	197
30.044741	2	0	200	200
30.044741	2	1	200	200
30.044741	2	2	200	200
30.044741	2	3	200	200
30.044741	2	4	200	200
30.044741	2	5	200	200
30.044741	2	6	200	200
30.044741	2	7	200	200
30.044741	2	8	200	200
30.044741	2	9	200	200
30.044741	2	10	200	200
30.044741	2	0	2000	394
30.044741	2	1	2000	394
30.044741	2	2	2000	394
30.044741	2	3	2000	394
30.044741	2	4	2000	394
30.044741	2	5	2000	394
30.044741	2	6	2000	394
30.044741	2	7	2000	394
30.044741	2	8	2000	394
30.044741	2	9	2000	394
30.044741	2	10	2000	394
30.044741	4	0	400	400
30.044741	4	1	400	400
30.044741	4	2	400	400
30.044741	4	3	400	400
30.044741	4	4	400	400
30.044741	4	5	400	400
30.044741	4	6	400	400
30.044741	4	7	400	400
30.044741	4	8	400	400
30.044741	4	9	400	400
30.044741	4	10	400	400
30.044741	4	0	4000	788
30.044741	4	1	4000	788
30.044741	4	2	4000	788
30.044741	4	3	4000	788
30.044741	4	4	4000	788
30.044741	4	5	4000	788
30.044741	4	6	4000	788
30.044741	4	7	4000	788
30.044741	4	8	4000	788
30.044741	4	9	4000	788
30.044741	4	10	4000	788
40.049496	1	0	100	1
40.049496	1	1	100	1
40.049496	1	2	100	1
40.049496	1	3	100	5
40.049496	1	4	100	22
40.049496	1	5	100	45
40.049496	1	6	100	71
40.049496	1	7	100	94
40.049496	1	8	100	100
40.049496	1	9	100	100
40.049496	1	10	100	100
40.049496	1	0	1000	80
40.049496	1	1	1000	123
40.049496	1	2	1000	169
40.049496	1	3	1000	228
40.049496	1	4	1000	283
40.049496	1	5	1000	333
40.049496	1	6	1000	346
40.049496	1	7	1000	346
40.049496	1	8	1000	346
40.049496	1	9	1000	346
40.049496	1	10	1000	346
40.049496	2	0	200	101
40.049496	2	1	200	101
40.049496	2	2	200	101
40.049496	2	3	200	105
40.049496	2	4	200	122
40.049496	2	5	200	146
40.049496	2	6	200	170
40.049496	2	7	200	194
40.049496	2	8	200	200
40.049496	2	9	200	200
40.049496	2	10	200	200
40.049496	2	0	2000	426
40.049496	2	1	2000	469
40.049496	2	2	2000	515
40.049496	2	3	2000	573
40.049496	2	4	2000	629
40.049496	2	5	2000	679
40.049496	2	6	2000	692
40.049496	2	7	2000	692
40.049496	2	8	2000	692
40.049496	2	9	2000	692
40.049496	2	10	2000	692
40.049496	4	0	400	215
40.049496	4	1	400	215
40.049496	4	2	400	215
40.049496	4	3	400	222
40.049496	4	4	400	255
40.049496	4	5	400	299
40.049496	4	6	400	347
40.049496	4	7	400	390
40.049496	4	8	400	400
40.049496	4	9	400	400
40.049496	4	10	400	400
40.049496	4	0	4000	865
40.049496	4	1	4000	949
40.049496	4	2	4000	1039
40.049496	4	3	4000	1145
40.049496	4	4	4000	1251
40.049496	4	5	4000	1350
40.049496	4	6	4000	1384
40.049496	4	7	4000	1384
40.049496	4	8	4000	1384
40.049496	4	9	4000	1384
40.049496	4	10	4000	1384
50.052204	1	0	100	100
50.052204	1	1	100	100
50.052204	1	2	100	100
50.052204	1	3	100	100
50.052204	1	4	100	100
50.052204	1	5	100	100
50.052204	1	6	100	100
50.052204	1	7	100	100
50.052204	1	8	100	100
50.052204	1	9	100	100
50.052204	1	10	100	100
50.052204	1	0	1000	452
50.052204	1	1	1000	452
50.052204	1	2	1000	452
50.052204	1	3	1000	452
50.052204	1	4	1000	452
50.052204	1	5	1000	452
50.052204	1	6	1000	452
50.052204	1	7	1000	452
50.052204	1	8	1000	452
50.052204	1	9	1000	452
50.052204	1	10	1000	452
50.052204	2	0	200	200
50.052204	2	1	200	200
50.052204	2	2	200	200
50.052204	2	3	200	200
50.052204	2	4	200	200
50.052204	2	5	200	200
50.052204	2	6	200	200
50.052204	2	7	200	200
50.052204	2	8	200	200
50.052204	2	9	200	200
50.052204	2	10	200	200
50.052204	2	0	2000	904
50.052204	2	1	2000	904
50.052204	2	2	2000	904
50.052204	2	3	2000	904
50.052204	2	4	2000	904
50.052204	2	5	2000	904
50.052204	2	6	2000	904
50.052204	2	7	2000	904
50.052204	2	8	2000	904
50.052204	2	9	2000	904
50.052204	2	10	2000	904
50.052204	4	0	400	312
50.052204	4	1	400	312
50.052204	4	2	400	312
50.052204	4	3	400	315
50.052204	4	4	400	331
50.052204	4	5	400	353
50.052204	4	6	400	378
50.052204	4	7	400	397
50.052204	4	8	400	400
50.052204	4	9	400	400
50.052204	4	10	400	400
50.052204	4	0	4000	1447
50.052204	4	1	4000	1489
50.052204	4	2	4000	1534
50.052204	4	3	4000	1582
50.052204	4	4	4000	1631
50.052204	4	5	4000	1681
50.052204	4	6	4000	1727
50.052204	4	7	4000	1764
50.052204	4	8	4000	1808
50.052204	4	9	4000	1808
50.052204	4	10	4000	1808
60.056553	1	0	100	100
60.056553	1	1	100	100
60.056553	1	2	100	100
60.056553	1	3	100	100
60.056553	1	4	100	100
60.056553	1	5	100	100
60.056553	1	6	100	100
60.056553	1	7	100	100
60.056553	1	8	100	100
60.056553	1	9	100	100
60.056553	1	10	100	100
60.056553	1	0	1000	496
60.056553	1	1	1000	496
60.056553	1	2	1000	496
60.056553	1	3	1000	496
60.056553	1	4	1000	496
60.056553	1	5	1000	496
60.056553	1	6	1000	496
60.056553	1	7	1000	496
60.056553	1	8	1000	496
60.056553	1	9	1000	496
60.056553	1	10	1000	496
60.056553	2	0	200	200
60.056553	2	1	200	200
60.056553	2	2	200	200
60.056553	2	3	200	200
60.056553	2	4	200	200
60.056553	2	5	200	200
60.056553	2	6	200	200
60.056553	2	7	200	200
60.056553	2	8	200	200
60.056553	2	9	200	200
60.056553	2	10	200	200
60.056553	2	0	2000	992
60.056553	2	1	2000	992
60.056553	2	2	2000	992
60.056553	2	3	2000	992
60.056553	2	4	2000	992
60.056553	2	5	2000	992
60.056553	2	6	2000	992
60.056553	2	7	2000	992
60.056553	2	8	2000	992
60.056553	2	9	2000	992
60.056553	2	10	2000	992
60.056553	4	0	400	221
60.056553	4	1	400	221
60.056553	4	2	400	221
60.056553	4	3	400	229
60.056553	4	4	400	264
60.056553	4	5	400	310
60.056553	4	6	400	361
60.056553	4	7	400	395
60.056553	4	8	400	400
60.056553	4	9	400	400
60.056553	4	10	400	400
60.056553	4	0	4000	1171
60.056553	4	1	4000	1256
60.056553	4	2	4000	1349
60.056553	4	3	4000	1448
60.056553	4	4	4000	1550
60.056553	4	5	4000	1651
60.056553	4	6	4000	1746
60.056553	4	7	4000	1814
60.056553	4	8	4000	1984
60.056553	4	9	4000	1984
60.056553	4	10	4000	1984
70.060364	1	0	100	100
70.060364	1	1	100	100
70.060364	1	2	100	100
70.060364	1	3	100	100
70.060364	1	4	100	100
70.060364	1	5	100	100
70.060364	1	6	100	100
70.060364	1	7	100	100
70.060364	1	8	100	100
70.060364	1	9	100	100
70.060364	1	10	100	100
70.060364	1	0	1000	471
70.060364	1	1	1000	471
70.060364	1	2	1000	471
70.060364	1	3	1000	471
70.060364	1	4	1000	471
70.060364	1	5	1000	471
70.060364	1	6	1000	471
70.060364	1	7	1000	471
70.060364	1	8	1000	471
70.060364	1	9	1000	471
70.060364	1	10	1000	471
70.060364	2	0	200	103
70.060364	2	1	200	103
70.060364	2	2	200	103
70.060364	2	3	200	107
70.060364	2	4	200	124
70.060364	2	5	200	147
70.060364	2	6	200	172
70.060364	2	7	200	195
70.060364	2	8	200	200
70.060364	2	9	200	200
70.060364	2	10	200	200
70.060364	2	0	2000	553
70.060364	2	1	2000	595
70.060364	2	2	2000	642
70.060364	2	3	2000	703
70.060364	2	4	2000	754
70.060364	2	5	2000	804
70.060364	2	6	2000	850
70.060364	2	7	2000	885
70.060364	2	8	2000	942
70.060364	2	9	2000	942
70.060364	2	10	2000	942
70.060364	4	0	400	115
70.060364	4	1	400	115
70.060364	4	2	400	115
70.060364	4	3	400	128
70.060364	4	4	400	180
70.060364	4	5	400	249
70.060364	4	6	400	324
70.060364	4	7	400	389
70.060364	4	8	400	400
70.060364	4	9	400	400
70.060364	4	10	400	400
70.060364	4	0	4000	723
70.060364	4	1	4000	850
70.060364	4	2	4000	989
70.060364	4	3	4000	1155
70.060364	4	4	4000	1309
70.060364	4	5	4000	1461
70.060364	4	6	4000	1602
70.060364	4	7	4000	1705
70.060364	4	8	4000	1884
70.060364	4	9	4000	1884
70.060364	4	10	4000	1884
80.062851	1	0	100	100
80.062851	1	1	100	100
80.062851	1	2	100	100
80.062851	1	3	100	100
80.062851	1	4	100	100
80.062851	1	5	100	100
80.062851	1	6	100	100
80.062851	1	7	100	100
80.062851	1	8	100	100
80.062851	1	9	100	100
80.062851	1	10	100	100
80.062851	1	0	1000	553
80.062851	1	1	1000	553
80.062851	1	2	1000	553
80.062851	1	3	1000	553
80.062851	1	4	1000	553
80.062851	1	5	1000	553
80.062851	1	6	1000	553
80.062851	1	7	1000	553
80.062851	1	8	1000	553
80.062851	1	9	1000	553
80.062851	1	10	1000	553
80.062851	2	0	200	111
80.062851	2	1	200	111
80.062851	2	2	200	111
80.062851	2	3	200	114
80.062851	2	4	200	131
80.062851	2	5	200	153
80.062851	2	6	200	178
80.062851	2	7	200	197
80.062851	2	8	200	200
80.062851	2	9	200	200
80.062851	2	10	200	200
80.062851	2	0	2000	643
80.062851	2	1	2000	685
80.062851	2	2	2000	730
80.062851	2	3	2000	797
80.062851	2	4	2000	863
80.062851	2	5	2000	923
80.062851	2	6	2000	971
80.062851	2	7	2000	1007
80.062851	2	8	2000	1106
80.062851	2	9	2000	1106
80.062851	2	10	2000	1106
80.062851	4	0	400	156
80.062851	4	1	400	156
80.062851	4	2	400	156
80.062851	4	3	400	168
80.062851	4	4	400	219
80.062851	4	5	400	287
80.062851	4	6	400	358
80.062851	4	7	400	391
80.062851	4	8	400	400
80.062851	4	9	400	400
80.062851	4	10	400	400
80.062851	4	0	4000	846
80.062851	4	1	4000	972
80.062851	4	2	4000	1113
80.062851	4	3	4000	1296
80.062851	4	4	4000	1467
80.062851	4	5	4000	1629
80.062851	4	6	4000	1771
80.062851	4	7	4000	1967
80.062851	4	8	4000	2196
80.062851	4	9	4000	2212
80.062851	4	10	4000	2212
90.064407	1	0	100	11
90.064407	1	1	100	11
90.064407	1	2	100	11
90.064407	1	3	100	16
90.064407	1	4	100	35
90.064407	1	5	100	60
90.064407	1	6	100	86
90.064407	1	7	100	98
