Generation	Size	Frequency	Count
180.079208	2	0.000429	0
180.079208	3	0.000644	0
180.079208	4	0.000858	0
180.079208	5	0.001073	0
180.079208	6	0.001288	0
180.079208	7	0.001502	0
180.079208	8	0.001717	0
180.079208	9	0.001931	0
180.079208	10	0.002146	0
180.079208	4659	0.999785	1
185.436157	1	0.000200	0
185.436157	2	0.000400	0
185.436157	3	0.000600	0
185.436157	4	0.000800	0
185.436157	5	0.001000	0
185.436157	6	0.001200	0
185.436157	7	0.001400	0
185.436157	8	0.001600	0
185.436157	9	0.001800	0
185.436157	10	0.002000	0
185.436157	5000	1.000000	1
190.080124	1	0.000188	0
190.080124	2	0.000377	0
190.080124	3	0.000565	0
190.080124	4	0.000753	0
190.080124	5	0.000942	0
190.080124	6	0.001130	0
190.080124	7	0.001319	0
190.080124	8	0.001507	0
190.080124	9	0.001695	0
190.080124	10	0.001884	0
190.080124	5309	1.000000	1
200.080994	1	0.000167	0
200.080994	2	0.000333	0
200.080994	3	0.000500	0
200.080994	4	0.000666	0
200.080994	5	0.000833	0
200.080994	6	0.000999	0
200.080994	7	0.001166	0
200.080994	8	0.001332	0
200.080994	9	0.001499	0
200.080994	10	0.001666	0
200.080994	6004	1.000000	1
210.081451	1	0.000152	0
210.081451	2	0.000303	0
210.081451	3	0.000455	0
210.081451	4	0.000606	0
210.081451	5	0.000758	0
210.081451	6	0.000909	0
210.081451	7	0.001061	0
210.081451	8	0.001212	0
210.081451	9	0.001364	0
210.081451	10	0.001515	0
210.081451	6599	1.000000	1
220.082001	1	0.000144	1
220.082001	2	0.000288	0
220.082001	3	0.000431	0
220.082001	4	0.000575	0
220.082001	5	0.000719	0
220.082001	6	0.000863	0
220.082001	7	0.001007	0
220.082001	8	0.001150	0
220.082001	9	0.001294	0
220.082001	10	0.001438	0
220.082001	6953	0.999856	1
230.082642	1	0.000133	0
230.082642	2	0.000267	0
230.082642	3	0.000400	0
230.082642	4	0.000533	0
230.082642	5	0.000667	0
230.082642	6	0.000800	0
230.082642	7	0.000933	0
230.082642	8	0.001067	0
230.082642	9	0.001200	0
230.082642	10	0.001333	0
230.082642	7501	1.000000	1
240.082993	1	0.000126	0
240.082993	2	0.000252	0
240.082993	3	0.000378	0
240.082993	4	0.000504	0
240.082993	5	0.000630	0
240.082993	6	0.000756	0
240.082993	7	0.000882	0
240.082993	8	0.001008	0
240.082993	9	0.001134	0
240.082993	10	0.001260	0
