Population	Parent	Identity	DriverIdentity	DriverMutations	MigrationMutations	Immortal	PassengerMutations	BirthRate	MigrationRate	OriginTime	Descendants
2051	660	2171	2171	4	0	1	1	3.746183	0.001458	600.307556	2051
440	93	1967	1967	3	0	1	1	2.582257	0.001458	595.843567	440
1290	93	2214	2214	3	0	1	0	2.871141	0.001458	601.155273	1290
28	93	3022	3022	3	0	1	0	2.400790	0.001458	618.236328	28
12	93	1990	1990	3	0	1	0	2.426389	0.001458	596.404358	12
1387	93	1947	1947	3	0	1	0	2.912198	0.001458	595.236206	1387
3027	93	2176	2176	3	0	1	0	3.073806	0.001458	600.394287	3035
53	148	2075	2075	4	0	1	0	2.542542	0.001458	598.191162	53
1446	148	2017	2017	4	0	1	0	3.027259	0.001458	596.988464	1446
686	173	2087	2087	5	0	1	0	3.794214	0.001458	598.404785	686
441	1137	2156	2156	4	0	1	0	3.077197	0.001458	599.877991	441
497	859	2313	2313	5	0	1	0	3.886405	0.001458	603.657471	497
3054	93	2427	2427	3	0	1	0	3.634373	0.001458	606.384827	3054
418	714	2263	2263	4	0	1	0	3.045233	0.001458	602.388123	418
446	248	2628	2628	4	0	1	0	3.549214	0.001458	610.541321	446
153	93	2115	2115	3	0	1	1	2.608313	0.001458	599.047607	153
28	714	2233	2233	4	0	1	0	2.814691	0.001458	601.585449	28
18602	660	2117	2117	4	0	1	0	4.433533	0.001458	599.055603	18609
55	93	2611	2611	3	0	1	0	2.386765	0.001458	610.269409	55
476	918	2560	2560	4	0	1	0	3.503474	0.001458	609.191223	476
499	93	2267	2267	3	0	1	0	2.860353	0.001458	602.509399	499
317	173	2242	2242	5	0	1	0	3.648508	0.001458	601.809509	317
649	93	2208	2208	3	0	1	0	2.703417	0.001458	600.993652	649
389	93	2223	2223	3	0	1	0	2.540459	0.001458	601.376831	389
13	93	2687	2687	3	0	1	0	2.418302	0.001458	611.753540	13
135	1402	2329	2329	6	0	1	1	4.796409	0.001458	604.150452	135
23	452	2276	2276	6	0	1	0	3.670262	0.001458	602.635071	23
81	93	2300	2300	3	0	1	0	2.511442	0.001458	603.315308	81
46	93	2511	2511	3	0	1	0	2.601054	0.001458	607.934143	46
65	93	2396	2396	3	0	1	0	2.466362	0.001458	605.594482	65
200	660	2558	2558	4	0	1	1	3.435133	0.001458	609.134399	200
55	2007	2897	2897	6	0	1	0	3.966398	0.001458	616.094360	55
1063	1383	2335	2335	4	0	1	1	3.172706	0.001458	604.184265	1063
38	93	2567	2567	3	0	1	0	2.507459	0.001458	609.401184	38
1	93	2504	2504	3	0	1	0	2.444753	0.001458	607.847229	1
301	392	2384	2384	4	0	1	1	3.414055	0.001458	605.253540	301
312	939	2528	2528	7	0	1	0	4.481493	0.001458	608.406616	312
29	93	2471	2471	3	0	1	0	2.480510	0.001458	607.093811	29
14	173	3085	3085	5	0	1	0	3.817488	0.001458	619.278137	14
338	93	2548	2548	3	0	1	0	2.736398	0.001458	608.967346	338
859	1402	2470	2470	6	0	1	0	5.171400	0.001458	607.085999	859
330	93	2516	2516	3	0	1	0	2.700527	0.001458	608.110352	330
102	148	2596	2596	4	0	1	0	2.824733	0.001458	609.851013	102
160	93	2815	2815	3	0	1	0	2.734487	0.001458	614.505249	160
43	148	2742	2742	4	0	1	0	2.597536	0.001458	612.958984	43
92	452	2691	2691	6	0	1	0	3.686199	0.001458	611.815674	92
266	93	2562	2562	3	0	1	1	2.647554	0.001458	609.238770	266
329	1073	2726	2726	5	0	1	0	4.016119	0.001458	612.601013	329
8	93	3002	3002	3	0	1	0	2.354077	0.001458	617.904236	8
460	148	2608	2608	4	0	1	1	2.918270	0.001458	610.216125	460
204	148	2631	2631	4	0	1	1	2.835453	0.001458	610.586670	204
84	148	2714	2714	4	0	1	0	2.544532	0.001458	612.382996	84
6	1402	3026	3026	6	0	1	0	4.726935	0.001458	618.302612	6
53	392	2927	2927	4	0	1	1	3.545476	0.001458	616.677979	53
163	1474	2591	2591	5	0	1	1	3.809577	0.001458	609.779236	163
10	93	2986	2986	3	0	1	0	2.727169	0.001458	617.661682	10
324	660	2593	2593	4	0	1	0	4.006727	0.001458	609.797241	324
127	392	2948	2948	4	0	1	1	4.160323	0.001458	617.093140	127
105	93	2627	2627	3	0	1	0	2.577509	0.001458	610.539062	105
73	392	2831	2831	4	0	1	1	3.560981	0.001458	614.836365	73
1	148	3236	3236	4	0	0	0	2.439057	0.001458	621.941345	1
1	173	3073	3073	5	0	1	0	3.464899	0.001458	619.173523	1
481	93	2637	2637	3	0	1	0	3.147337	0.001458	610.624878	481
8	2176	2992	2992	4	0	0	0	3.085706	0.001458	617.816345	8
1	93	2730	2730	3	0	1	0	2.371491	0.001458	612.705933	1
262	93	2729	2729	3	0	1	0	3.276924	0.001458	612.675598	262
64	939	3041	3041	7	0	1	0	4.604136	0.001458	618.511230	64
278	1402	2980	2980	6	0	1	0	4.982868	0.001458	617.589539	278
80	939	2652	2652	7	0	1	0	4.349804	0.001458	610.845093	80
211	1180	2699	2699	6	0	1	0	3.822403	0.001458	611.952637	211
24	392	2919	2919	4	0	1	1	3.307003	0.001458	616.481873	24
4	1871	3222	3222	4	0	0	0	3.661976	0.001458	621.716919	4
15	93	2940	2940	3	0	1	1	2.729561	0.001458	616.929443	15
10	93	3013	3013	3	0	1	0	2.388053	0.001458	618.140076	10
22	248	2798	2798	4	0	1	0	3.077927	0.001458	614.152222	22
37	660	2767	2767	4	0	1	0	3.460868	0.001458	613.455383	37
71	660	3008	3008	4	0	1	0	3.839972	0.001458	618.040955	71
14	93	2790	2790	3	0	1	0	2.486892	0.001458	614.039612	14
1	360	2804	2804	4	0	1	0	3.167949	0.001458	614.260681	1
37	93	2894	2894	3	0	1	0	2.350795	0.001458	616.082458	37
5	93	3095	3095	3	0	0	0	3.196334	0.001458	619.540039	5
1	93	3201	3201	3	0	0	0	2.442595	0.001458	621.422791	1
86	93	2973	2973	3	0	1	0	2.709068	0.001458	617.444885	86
3	93	3175	3175	3	0	0	0	2.474314	0.001458	621.051453	3
17	93	2976	2976	3	0	1	0	2.678319	0.001458	617.501770	17
10	93	2912	2912	3	0	1	0	2.425782	0.001458	616.351868	10
1	660	2888	2888	4	0	1	0	3.468568	0.001458	616.021301	1
44	173	3007	3007	5	0	1	0	3.633966	0.001458	618.026917	44
9	1402	3145	3145	6	0	1	0	4.771951	0.001458	620.421204	9
13	660	2983	2983	4	0	1	0	3.820882	0.001458	617.609802	13
35	93	3032	3032	3	0	1	0	2.387826	0.001458	618.371948	35
2	2117	3066	3066	5	0	0	0	4.468823	0.001458	618.957031	2
28	660	2918	2918	4	0	1	0	3.569223	0.001458	616.470642	28
1	93	3235	3235	3	0	0	1	2.909388	0.001458	621.849060	1
97	173	3081	3081	5	0	1	0	4.237894	0.001458	619.252136	97
8	173	3024	3024	5	0	1	0	3.429168	0.001458	618.268616	8
1	93	3014	3014	3	0	1	0	2.522280	0.001458	618.147156	1
2	714	3190	3190	4	0	0	0	2.841334	0.001458	621.209229	2
37	173	2966	2966	5	0	1	0	3.614612	0.001458	617.341614	37
31	1402	3015	3015	6	0	1	2	4.976364	0.001458	618.170715	31
14	1474	3076	3076	5	0	1	1	3.602493	0.001458	619.190796	14
3	2117	3219	3219	5	0	0	0	4.440175	0.001458	621.677673	3
1	93	3185	3185	3	0	0	0	2.423589	0.001458	621.116333	1
1	1170	3141	3141	4	0	0	0	3.337551	0.001458	620.312988	1
14	1715	3164	3164	4	0	1	0	3.272552	0.001458	620.803528	14
1	93	3216	3216	3	0	0	0	2.398644	0.001458	621.636047	1
15	660	3046	3046	4	0	1	0	3.349538	0.001458	618.584167	15
29	173	3091	3091	5	0	1	0	3.506012	0.001458	619.442261	29
29	773	3093	3093	5	0	1	1	4.271891	0.001458	619.511169	29
6	773	3037	3037	5	0	1	0	3.379853	0.001458	618.422791	6
2	2117	3086	3086	5	0	0	0	4.850981	0.001458	619.301147	2
16	392	3048	3048	4	0	1	1	3.354080	0.001458	618.597778	16
1	93	3113	3113	3	0	0	0	2.393408	0.001458	619.882935	1
7	93	3157	3157	3	0	1	0	2.506099	0.001458	620.639038	7
2	93	3083	3083	3	0	1	1	2.414570	0.001458	619.270142	2
3	93	3213	3213	3	0	0	0	2.409987	0.001458	621.633423	3
1	93	3223	3223	3	0	0	0	2.446042	0.001458	621.718994	1
3	992	3058	3058	6	0	1	0	3.541885	0.001458	618.768921	3
11	93	3116	3116	3	0	1	0	2.507650	0.001458	619.925171	11
12	93	3127	3127	3	0	1	1	2.491087	0.001458	620.059448	12
8	1600	3156	3156	5	0	1	0	3.905158	0.001458	620.636536	8
3	173	3218	3218	5	0	0	0	3.302697	0.001458	621.663208	3
1	1638	3226	3226	5	0	0	0	3.760291	0.001458	621.751465	1
46	1180	3144	3144	6	0	1	0	5.031773	0.001458	620.369019	46
5	93	3147	3147	3	0	0	0	2.503904	0.001458	620.475586	5
1	93	3221	3221	3	0	0	0	2.426413	0.001458	621.709229	1
1	93	3208	3208	3	0	0	0	2.412516	0.001458	621.531860	1
2	93	3203	3203	3	0	0	0	2.591198	0.001458	621.451172	2
1	1402	3215	3215	6	0	0	0	4.706488	0.001458	621.635437	1
1	392	3230	3230	4	0	0	1	3.618196	0.001458	621.798950	1
2	93	3234	3234	3	0	0	0	2.830982	0.001458	621.839417	2
