Generation	NumCells	TotalBirths	TotalDeaths	TotalMigrations	Passengers	Drivers	VarPassengers	VarDrivers	MeanBirthRate	MeanMigrationRate	VarBirthRate	VarMigRate	NumClones	NumGenotypes	NumDriverGenotypes	NumDemes	NumNon-EmptyDemes	MatrixColumns	DriverMatrixColumns	EverGenotypes	CellsWith0Drivers	CellsWith1Drivers	CellsWith2Drivers	CellsWith3Drivers	CellsWith4Drivers	CellsWith5Drivers	CellsWith6Drivers	CellsWith7Drivers	CellsWith8Drivers	CellsWith9Drivers	CellsWith10Drivers
201.076401	6705	404935	398231	613	44.345562	0.003132	56.340778	0.003122	1.000646e+00	1.457678e-03	1.328494e-04	0.000000e+00	2542	2529	2	27	23	24379	2	77156	6684	21	0	0	0	0	0	0	0	0	0
202.076416	6805	411702	404898	628	44.459221	0.005143	57.775368	0.005117	1.001061e+00	1.457678e-03	2.177181e-04	0.000000e+00	2557	2544	2	28	24	24744	2	78424	6770	35	0	0	0	0	0	0	0	0	0
203.076416	6877	418552	411676	634	44.517376	0.005671	58.102787	0.005639	1.001170e+00	1.457678e-03	2.399301e-04	0.000000e+00	2688	2678	2	28	21	25228	2	79739	6838	39	0	0	0	0	0	0	0	0	0
204.076447	6919	425518	418600	644	44.735367	0.008816	58.646038	0.008738	1.001819e+00	1.457678e-03	3.718317e-04	0.000000e+00	2690	2678	2	28	23	25612	2	81087	6858	61	0	0	0	0	0	0	0	0	0
205.076645	6976	432471	425496	658	44.989967	0.008028	58.078468	0.007963	1.001656e+00	1.457678e-03	3.388422e-04	0.000000e+00	2718	2703	2	28	23	26001	2	82385	6920	56	0	0	0	0	0	0	0	0	0
206.076660	7074	439561	432488	665	45.261379	0.010602	56.835064	0.010490	1.002187e+00	1.457678e-03	4.463353e-04	0.000000e+00	2728	2719	2	28	22	26423	2	83756	6999	75	0	0	0	0	0	0	0	0	0
207.076660	7130	446661	439532	678	45.473351	0.011921	56.440628	0.011780	1.002459e+00	1.457678e-03	5.012028e-04	0.000000e+00	2730	2716	2	28	22	26845	2	85101	7045	85	0	0	0	0	0	0	0	0	0
208.076706	7219	453836	446618	689	45.641777	0.015515	56.711502	0.015274	1.003200e+00	1.457678e-03	6.498985e-04	0.000000e+00	2751	2738	2	29	20	27263	2	86437	7107	112	0	0	0	0	0	0	0	0	0
209.076752	7290	461206	453917	700	45.783401	0.016187	56.965439	0.015924	1.003339e+00	1.457678e-03	6.775894e-04	0.000000e+00	2842	2830	2	29	21	27736	2	87816	7172	118	0	0	0	0	0	0	0	0	0
210.076874	7333	468599	461267	714	45.920769	0.013773	55.748775	0.013584	1.002841e+00	1.457678e-03	5.779954e-04	0.000000e+00	2792	2782	2	29	22	28111	2	89209	7232	101	0	0	0	0	0	0	0	0	0
211.076950	7416	475995	468580	721	46.086433	0.014024	55.646900	0.013827	1.002851e+00	1.457678e-03	5.778586e-04	0.000000e+00	2790	2781	3	29	23	28516	3	90557	7312	104	0	0	0	0	0	0	0	0	0
212.076981	7436	483332	475897	727	46.110142	0.017348	56.219643	0.017047	1.003579e+00	1.457678e-03	7.253659e-04	0.000000e+00	2843	2835	2	29	22	28949	3	91894	7307	129	0	0	0	0	0	0	0	0	0
213.076981	7539	490977	483439	735	46.270992	0.021488	54.971992	0.021027	1.004433e+00	1.457678e-03	8.946655e-04	0.000000e+00	2896	2885	2	29	21	29396	3	93348	7377	162	0	0	0	0	0	0	0	0	0
214.077026	7671	498735	491065	753	46.411030	0.023074	53.272449	0.022542	1.004760e+00	1.457678e-03	9.591795e-04	0.000000e+00	2935	2915	2	29	24	29821	3	94793	7494	177	0	0	0	0	0	0	0	0	0
215.077026	7783	506626	498844	763	46.660286	0.022999	54.021576	0.022470	1.004744e+00	1.457678e-03	9.560818e-04	0.000000e+00	2973	2956	2	29	23	30242	3	96250	7604	179	0	0	0	0	0	0	0	0	0
