Population	Parent	Identity	DriverIdentity	DriverMutations	MigrationMutations	Immortal	PassengerMutations	BirthRate	MigrationRate	OriginTime	Descendants
454	1749	3219	3219	7	0	1	1	4.560525	0.001458	654.871033	454
1812	287	2733	2733	5	0	1	1	3.088501	0.001458	643.038330	1915
1	1241	4023	4023	4	0	0	1	2.358460	0.001458	670.833191	1
474	39	2830	2830	3	0	1	0	1.716180	0.001458	646.102478	474
2084	105	2703	2703	3	0	1	0	2.326832	0.001458	642.366455	2084
8079	287	2857	2857	5	0	1	1	3.692724	0.001458	646.787537	8168
876	1152	2990	2990	4	0	1	2	2.641143	0.001458	650.316223	876
70	287	2898	2898	5	0	1	1	2.488455	0.001458	647.773315	70
1946	287	2931	2931	5	0	1	1	3.026137	0.001458	648.765015	1946
49	105	3188	3188	3	0	1	0	1.848278	0.001458	654.250122	49
1324	483	3028	3028	6	0	1	1	3.964767	0.001458	651.163086	1324
36	339	3293	3293	6	0	1	3	2.764287	0.001458	656.420837	36
22	105	2967	2967	3	0	1	0	2.003866	0.001458	649.690735	22
679	1780	3203	3203	7	0	1	1	4.142657	0.001458	654.492126	679
623	1077	3509	3509	7	0	1	1	4.303100	0.001458	661.050598	623
21	105	3199	3199	3	0	1	0	2.019158	0.001458	654.438965	21
18	105	3141	3141	3	0	1	0	2.042370	0.001458	653.274292	18
518	1749	3200	3200	7	0	1	1	4.443467	0.001458	654.461548	518
3151	1351	2998	2998	7	0	1	3	4.327318	0.001458	650.440674	3151
1655	483	3063	3063	6	0	1	2	3.862629	0.001458	651.661011	1655
35	954	3540	3540	4	0	1	0	2.641167	0.001458	661.659668	35
131	1610	3501	3501	7	0	1	1	3.698061	0.001458	660.941833	131
70	1749	3017	3017	7	0	1	1	4.228243	0.001458	650.932739	70
236	1292	3047	3047	4	0	1	0	2.462568	0.001458	651.489502	236
443	339	3237	3237	6	0	1	2	3.040421	0.001458	655.258240	443
47	1292	3053	3053	4	0	1	0	2.330077	0.001458	651.562317	47
27	1351	3061	3061	7	0	1	2	3.635584	0.001458	651.649475	27
24	483	3563	3563	6	0	1	1	2.978503	0.001458	662.266235	24
992	483	3064	3064	6	0	1	2	3.716337	0.001458	651.661743	992
23	483	3180	3180	6	0	1	1	3.036042	0.001458	654.110352	23
10	339	3476	3476	6	0	1	2	2.867099	0.001458	660.264832	10
1045	1351	3276	3276	7	0	1	2	4.226251	0.001458	656.096313	1045
7	915	3379	3379	4	0	1	0	2.556910	0.001458	658.280884	7
262	339	3217	3217	6	0	1	2	3.037573	0.001458	654.755737	262
638	105	3205	3205	3	0	1	1	2.413100	0.001458	654.542725	638
2	1351	4006	4006	7	0	0	2	3.618559	0.001458	670.569397	2
29	1241	3317	3317	4	0	1	2	2.542272	0.001458	656.851379	29
99	297	3382	3382	4	0	1	0	2.188475	0.001458	658.330322	99
508	483	3500	3500	6	0	1	1	3.839933	0.001458	660.905945	508
5	105	3435	3435	3	0	1	0	1.756113	0.001458	659.450439	5
172	39	3428	3428	3	0	1	0	1.883744	0.001458	659.349976	172
1	105	4016	4016	3	0	0	0	1.788609	0.001458	670.699280	1
27	1077	3329	3329	7	0	1	1	3.999938	0.001458	657.156067	27
2	39	4011	4011	3	0	0	0	1.824778	0.001458	670.603088	2
157	1077	3442	3442	7	0	1	3	4.099152	0.001458	659.564392	157
4	954	3863	3863	4	0	1	0	2.495189	0.001458	668.078125	4
1449	1152	3419	3419	4	0	1	2	3.228680	0.001458	659.217651	1449
1	1846	3726	3726	4	0	1	0	2.272240	0.001458	665.286804	1
2	39	3977	3977	3	0	0	0	1.598435	0.001458	670.137634	2
19	1254	3864	3864	6	0	1	1	3.441403	0.001458	668.081726	19
30	483	3483	3483	6	0	1	1	2.973686	0.001458	660.339478	30
44	483	3482	3482	6	0	1	1	3.239098	0.001458	660.335510	44
1	1284	4020	4020	4	0	0	0	2.205735	0.001458	670.763123	1
606	1351	3471	3471	7	0	1	2	4.416976	0.001458	660.171204	606
84	339	3498	3498	6	0	1	2	2.908583	0.001458	660.875671	84
5	105	3881	3881	3	0	0	0	1.802797	0.001458	668.473267	5
87	2857	3487	3487	6	0	1	1	3.812283	0.001458	660.497314	87
2	2857	3985	3985	6	0	0	1	3.886741	0.001458	670.257507	2
810	105	3466	3466	3	0	1	0	2.515313	0.001458	660.076721	810
30	483	3766	3766	6	0	1	1	3.065613	0.001458	666.128113	30
4	483	3701	3701	6	0	1	1	3.056176	0.001458	664.817078	4
175	483	3528	3528	6	0	1	1	3.214849	0.001458	661.467163	175
14	287	3506	3506	5	0	1	1	2.664118	0.001458	660.996155	14
4	483	3941	3941	6	0	0	1	3.120999	0.001458	669.591187	4
134	1254	3600	3600	6	0	1	1	3.405597	0.001458	662.940735	134
1	483	4008	4008	6	0	0	2	3.053208	0.001458	670.585388	1
40	39	3708	3708	3	0	1	0	1.644422	0.001458	664.965759	40
